Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
,,,,,,400413,
,,,,,,400392,
,,,,,,400228,
,,,,,1818,,
,,,,,1497,,
,,,,,1925,,
,,,,,52,,
,,,,,,1537,
,,,,,,2642,
,,,,,,2511,
,,,,,,2633,
,,,,,,2816,
,,,,,,2323,
,,,,,,2500,
,,,,,,1955,
,,,,,,1280,
,,,,,,2636,
,,,,,,2502,
,,,,,,2550,
,,,,,,2501,
,,,,,,400220,
,,,,,,400157,
,,,,,,2695,
,,,,,,1885,
,,,,,,1555,
,,,,,,2634,
,,,,,,400236,
,,,,,,400275,
,,,,,,2200,
,,,,,2617,,
,,,,,,2599,
,,,,,,2600,
,,,,,,2601,
,,,,,,2606,
,,,,,,2719,
,,,,,,2613,
,,,,,,2740,
,,,,,,2693,
,,,,,,2618,
,,,,,2287,,
,,,,,1948,,
,,,,,480,,
,,,,893,,,
,,,,,989,,
,,,,,,2135,
,,,,,2509,,
,,,,,1745,,
,,,,,1774,,
,,,,2036,,,
,,,,2830,,,
,2590,,,,,,
,1495,,,,,,
,,2020,,,,,
,,112,,,,,
,1640,,,,,,
,1989,,,,,,
,2836,,,,,,
,1004,,,,,,
,771,,,,,,
,,192,,,,,
,,,130,,,,
,,,104,,,,
,,,274,,,,
,,,2888,,,,
,,,2883,,,,
,,,2567,,,,
,,1249,,,,,
,,1666,,,,,
,,400061,,,,,
,,2785,,,,,
,,1221,,,,,
,,,2085,,,,
,,,2881,,,,
,,,1928,,,,
,,,1879,,,,
,,555,,,,,
,,241,,,,,
,,1158,,,,,
,,325,,,,,
,,1197,,,,,
,200009,,,,,,
,,611,,,,,
,,200013,,,,,
,,,200048,,,,
,,,,400054,,,
,,,,931,,,
,,,,2371,,,
,,,,2783,,,
,,,,2708,,,
,,,,1956,,,
,,,,2682,,,
,,,,2779,,,
,,,,2195,,,
,,,,2671,,,
,,,,634,,,
,,,,2718,,,
,,,,2283,,,
,,,,71,,,
,,,,129,,,
,,,,2877,,,
,,,,9,,,
,,,,2410,,,
,,,,128,,,
,,,,2219,,,
,,,,2570,,,
,,,200030,,,,
,,,200021,,,,
